name,lat,lon,range
Ailsa Craig,55.2521,-5.108717,17
Ardnamurchan,56.726983,-6.226117,18
Auskerry,59.02595,-2.57278,20
Barra Head,56.785517,-7.653583,18
Bell Rock,56.43441667,-2.38716667,18
Brough of Birsay,59.1369,-3.339383,18
Buchan Ness,57.47045,-1.774567,18
Butt Of Lewis,58.515383,-6.26195,21
Cantick Head,58.78715,-3.1315,18
Cape Wrath,58.625517,-4.99945,21
Corsewall,55.00715,-5.1594,22
Crammag Head,54.665167,-4.96505,18
Davaar,55.428133,-5.540467,15
Dubh Artach,56.132567,-6.63465,20
Duncansby Head,58.6441,-3.025433,21
Dunnet Head,58.67145,-3.376567,23
Eilean Glas,57.856883,-6.641917,18
Esha Ness,60.489167,-1.628,25
Fair Isle (North),59.552033,-1.60885,22
Fair Isle (South),59.5143,-1.653433,22
Fife Ness,56.279117,-2.5866,15
Flannan Islands,58.28823,-7.5899,20
Girdle Ness,57.138983,-2.0486,22
Haskeir,57.699067,-7.68845,24
Holy Island (Outer),55.517367,-5.060883,18
Hoy Sound (High),58.935617,-3.273333,19
Hyskeir,56.96898,-6.680583,24
Isle Of May,56.18565,-2.5576166,18
Kinnaird Head,57.697917,-2.004417,22
Lismore,56.45555,-5.60748,17
Monach Isles,57.525817,-7.69605,18
Muckle Flugga,60.855433,-0.885767,22
Mull Of Galloway,54.635217,-4.85745,18
Mull Of Kintyre,55.310433,-5.803467,18
Neist Point,57.423333,-6.788167,16
North Rona,59.121267,-5.815033,22
North Ronaldsay,59.389317,-2.3815,24
Noss Head,58.47935,-3.051417,18
Noup Head,59.33108,-3.07058,20
Out Skerries,60.424483,-0.72805,20
Pentland Skerries,58.690133,-2.924733,23
Pladda,55.4252,-5.11855,17
Rattray Head,57.61025,-1.816767,18
Rhinns Of Islay,55.673367,-6.5134,18
Rubh Reidh,57.858783,-5.811883,18
Ruvaal (Rubh’ A’ Mhail),55.93635,-6.12348,19
Sanda,55.275133,-5.583,15
Scurdie Ness,56.701767,-2.4373,20
Skerryvore,56.322767,-7.1147,23
St Abbs Head,55.916317,-2.1381,18
Start Point,59.2773,-2.37628,18
Stoer Head,58.240083,-5.402683,18
Stroma (Swilkie Point),58.6959,-3.1169,20
Sule Skerry,59.085167,-4.406617,18
Sumburgh Head,59.85385,-1.27525,23
Tarbat Ness,57.865133,-3.776667,18
Tiumpan Head,58.26128,-6.13785,18
Ushenish,57.298333,-7.193,19